Date,Open,High,Low,Close,Adj Close,Volume
2021-07-02,526.599976,529.400024,522.599976,525.400024,525.400024,3567318
2021-07-05,526.000000,528.799988,521.599976,527.400024,527.400024,2227187
2021-07-06,526.000000,528.000000,522.200012,526.000000,526.000000,5658354
2021-07-07,528.599976,532.000000,525.000000,529.000000,529.000000,3334905
2021-07-08,528.200012,533.000000,526.200012,533.000000,533.000000,5528740
2021-07-09,537.000000,543.937988,534.400024,538.000000,538.000000,6194083
2021-07-12,538.200012,539.599976,529.599976,536.200012,536.200012,4328956
2021-07-13,537.200012,542.799988,535.200012,538.599976,538.599976,3936728
2021-07-14,537.599976,539.400024,532.799988,538.000000,538.000000,13800782
2021-07-15,538.000000,538.599976,530.000000,533.200012,533.200012,4352976
2021-07-16,536.400024,543.599976,533.799988,539.799988,539.799988,5223755
2021-07-19,534.400024,535.000000,523.093018,527.200012,527.200012,6224069
2021-07-20,529.799988,535.599976,527.400024,534.200012,534.200012,7666066
2021-07-21,537.200012,545.799988,536.200012,541.000000,541.000000,4859261
